sl_mult,tp_mult,ratio,win_rate,profit_factor,max_drawdown,total_return,sharpe,total_trades
0.5,1.0,2.0,0.3333,0.16,0.0956,-0.0956,-0.76,21
0.5,1.33,2.66,0.381,0.32,0.0781,-0.0781,-0.51,21
0.5,1.5,3.0,0.4,0.41,0.0668,-0.0667,-0.41,20
0.5,2.0,4.0,0.35,0.46,0.0625,-0.0611,-0.34,20
0.5,2.5,5.0,0.35,0.52,0.0625,-0.0549,-0.28,20
0.5,3.0,6.0,0.35,0.48,0.0625,-0.0597,-0.31,20
0.5,3.5,7.0,0.35,0.48,0.0625,-0.0597,-0.31,20
0.5,4.0,8.0,0.35,0.48,0.0625,-0.0597,-0.31,20
0.75,1.0,1.33,0.4,0.17,0.0912,-0.0907,-0.66,20
0.75,1.33,1.77,0.45,0.35,0.0736,-0.0712,-0.44,20
0.75,1.5,2.0,0.4737,0.45,0.069,-0.0587,-0.35,19
0.75,2.0,2.67,0.4211,0.51,0.0667,-0.0532,-0.29,19
0.75,2.5,3.33,0.4211,0.57,0.0667,-0.0468,-0.23,19
0.75,3.0,4.0,0.4211,0.53,0.0667,-0.0517,-0.26,19
0.75,3.5,4.67,0.4211,0.53,0.0667,-0.0517,-0.26,19
0.75,4.0,5.33,0.4211,0.53,0.0667,-0.0517,-0.26,19
1.0,1.0,1.0,0.4444,0.21,0.0708,-0.0703,-0.55,18
1.0,1.33,1.33,0.5,0.44,0.0655,-0.0503,-0.33,18
1.0,1.5,1.5,0.5294,0.57,0.0609,-0.0376,-0.24,17
1.0,2.0,2.0,0.4706,0.54,0.0586,-0.0405,-0.25,17
1.0,2.5,2.5,0.4706,0.5,0.0586,-0.0438,-0.28,17
1.0,3.0,3.0,0.4706,0.5,0.0586,-0.0438,-0.28,17
1.0,3.5,3.5,0.4706,0.5,0.0586,-0.0438,-0.28,17
1.0,4.0,4.0,0.4706,0.5,0.0586,-0.0438,-0.28,17
1.25,1.0,0.8,0.5,0.25,0.0576,-0.0571,-0.47,16
1.25,1.33,1.06,0.5625,0.5,0.0537,-0.0384,-0.28,16
1.25,1.5,1.2,0.5625,0.61,0.0537,-0.0303,-0.2,16
1.25,2.0,1.6,0.5,0.54,0.0537,-0.0355,-0.24,16
1.25,2.5,2.0,0.5,0.5,0.0537,-0.0389,-0.27,16
1.25,3.0,2.4,0.5,0.5,0.0537,-0.0389,-0.27,16
1.25,3.5,2.8,0.5,0.5,0.0537,-0.0389,-0.27,16
1.25,4.0,3.2,0.5,0.5,0.0537,-0.0389,-0.27,16
1.5,1.0,0.67,0.5,0.25,0.0569,-0.0564,-0.47,16
1.5,1.33,0.89,0.5625,0.5,0.0532,-0.0379,-0.29,16
1.5,1.5,1.0,0.5625,0.61,0.0532,-0.0299,-0.22,16
1.5,2.0,1.33,0.5,0.54,0.0532,-0.0352,-0.26,16
1.5,2.5,1.67,0.5,0.5,0.0532,-0.0385,-0.29,16
1.5,3.0,2.0,0.5,0.5,0.0532,-0.0385,-0.29,16
1.5,3.5,2.33,0.5,0.5,0.0532,-0.0385,-0.29,16
1.5,4.0,2.67,0.5,0.5,0.0532,-0.0385,-0.29,16
